preco,tipo,area,quartos,bairro,preco_m2
1800,Apartamento,45.0,1,asa sul,40.0
600,Kitnet,30.0,1,asa norte,20.0
1200,Apartamento,37.0,1,aguas claras,32.432432432432435
600,Kitnet,25.0,1,asa norte,24.0
2600,Hotel-Flat,49.0,1,asa sul,53.06122448979592
750,Kitnet,25.0,1,asa norte,30.0
800,Kitnet,28.0,1,asa norte,28.571428571428573
2600,Apartamento,51.0,1,asa sul,50.98039215686274
2700,Apartamento,48.0,1,lago norte,56.25
2300,Apartamento,48.0,1,asa norte,47.916666666666664
480,Casa,30.0,1,taguatinga,16.0
700,Apartamento,55.0,1,areal,12.727272727272727
1600,Apartamento,29.0,1,sudoeste,55.172413793103445
600,Kitnet,25.0,1,asa norte,24.0
2600,Apartamento,51.0,1,asa sul,50.98039215686274
2500,Hotel-Flat,25.0,1,asa norte,100.0
2500,Hotel-Flat,49.0,1,asa norte,51.02040816326531
2900,Apartamento,51.0,1,asa norte,56.86274509803921
2700,Hotel-Flat,48.0,1,asa sul,56.25
2800,Hotel-Flat,51.0,1,asa norte,54.90196078431372
900,Kitnet,40.0,1,sudoeste,22.5
2300,Hotel-Flat,48.0,1,asa norte,47.916666666666664
2300,Apartamento,48.0,1,asa norte,47.916666666666664
800,Kitnet,28.0,1,asa sul,28.571428571428573
2300,Apartamento,48.0,1,asa norte,47.916666666666664
3200,Hotel-Flat,48.0,1,asa sul,66.66666666666667
800,Kitnet,33.0,1,sudoeste,24.242424242424242
1750,Apartamento,33.0,1,aguas claras,53.03030303030303
3000,Apartamento,48.0,1,asa sul,62.5
850,Apartamento,35.0,1,guara ii,24.285714285714285
3500,Apartamento,48.0,1,asa sul,72.91666666666667
6500,Hotel-Flat,100.0,1,asa norte,65.0
3600,Hotel-Flat,28.0,1,asa norte,128.57142857142858
2500,Apartamento,38.0,1,asa norte,65.78947368421052
690,Apartamento,50.0,1,ceilandia,13.8
700,Kitnet,22.0,1,asa norte,31.818181818181817
700,Kitnet,33.0,1,asa norte,21.21212121212121
700,Kitnet,30.0,1,asa norte,23.333333333333332
1600,Kitnet,26.0,1,asa sul,61.53846153846154
1500,Kitnet,28.0,1,sudoeste,53.57142857142857
1950,Apartamento,65.0,1,lago norte,30.0
750,Kitnet,33.0,1,asa norte,22.727272727272727
1500,Kitnet,28.0,1,asa norte,53.57142857142857
1100,Apartamento,30.0,1,lago norte,36.666666666666664
750,Apartamento,30.0,1,samambaia,25.0
1200,Kitnet,27.0,1,sudoeste,44.44444444444444
815,Apartamento,35.0,1,aguas claras,23.285714285714285
1300,Kitnet,24.0,1,park sul,54.166666666666664
1300,Kitnet,28.0,1,lago norte,46.42857142857143
850,Apartamento,35.0,1,guara ii,24.285714285714285
595,Kitnet,24.0,1,asa norte,24.791666666666668
1150,Kitnet,22.0,1,asa norte,52.27272727272727
1000,Apartamento,35.0,1,asa norte,28.571428571428573
1100,Apartamento,31.0,1,aguas claras,35.483870967741936
2300,Apartamento,50.0,1,asa norte,46.0
1300,Apartamento,30.0,1,aguas claras,43.333333333333336
1990,Hotel-Flat,46.0,1,asa sul,43.26086956521739
800,Kitnet,27.0,1,asa norte,29.62962962962963
1000,Apartamento,30.0,1,sudoeste,33.333333333333336
750,Apartamento,40.0,1,taguatinga,18.75
860,Kitnet,33.0,1,aguas claras,26.060606060606062
800,Kitnet,27.0,1,sudoeste,29.62962962962963
450,Casa,29.0,1,ceilandia,15.517241379310345
1250,Kitnet,34.0,1,aguas claras,36.76470588235294
2500,Hotel-Flat,44.0,1,park sul,56.81818181818182
700,Kitnet,27.0,1,asa norte,25.925925925925927
4000,Hotel-Flat,60.0,1,asa sul,66.66666666666667
1100,Apartamento,25.0,1,asa norte,44.0
980,Kitnet,26.0,1,asa norte,37.69230769230769
820,Apartamento,33.0,1,ceilandia,24.848484848484848
1100,Kitnet,27.0,1,sudoeste,40.74074074074074
1971,Apartamento,27.0,1,asa norte,73.0
1090,Kitnet,27.0,1,sudoeste,40.370370370370374
1350,Apartamento,32.0,1,aguas claras,42.1875
600,Kitnet,30.0,1,guara ii,20.0
1300,Kitnet,30.0,1,sudoeste,43.333333333333336
1200,Apartamento,39.0,1,asa norte,30.76923076923077
850,Kitnet,38.0,1,asa norte,22.36842105263158
1000,Apartamento,40.0,1,aguas claras,25.0
1150,Kitnet,26.0,1,asa norte,44.23076923076923
850,Apartamento,35.0,1,guara ii,24.285714285714285
1300,Apartamento,37.0,1,sudoeste,35.13513513513514
1700,Apartamento,51.0,1,lago norte,33.333333333333336
700,Apartamento,48.0,1,guara ii,14.583333333333334
1450,Apartamento,35.0,1,aguas claras,41.42857142857143
1800,Hotel-Flat,23.0,1,asa norte,78.26086956521739
750,Kitnet,29.0,1,asa norte,25.862068965517242
1150,Apartamento,32.0,1,taguatinga,35.9375
610,Casa,34.0,1,ceilandia,17.941176470588236
750,Apartamento,30.0,1,guara ii,25.0
7200,Apartamento,51.0,1,asa sul,141.1764705882353
1000,Apartamento,30.0,1,aguas claras,33.333333333333336
900,Kitnet,30.0,1,asa norte,30.0
1700,Kitnet,25.0,1,sudoeste,68.0
1099,Kitnet,32.0,1,lago norte,34.34375
1200,Apartamento,30.0,1,lago norte,40.0
1400,Kitnet,25.0,1,asa sul,56.0
550,Apartamento,50.0,1,areal,11.0
900,Kitnet,25.0,1,asa norte,36.0
1200,Kitnet,30.0,1,aguas claras,40.0
1185,Apartamento,28.0,1,asa sul,42.32142857142857
500,Kitnet,30.0,1,samambaia,16.666666666666668
570,Kitnet,20.0,1,asa norte,28.5
2900,Apartamento,51.0,1,asa norte,56.86274509803921
900,Kitnet,25.0,1,asa norte,36.0
600,Apartamento,40.0,1,taguatinga,15.0
1200,Apartamento,38.0,1,asa norte,31.57894736842105
900,Casa,60.0,1,taguatinga,15.0
1100,Kitnet,28.0,1,asa norte,39.285714285714285
700,Kitnet,26.0,1,lago norte,26.923076923076923
800,Kitnet,30.0,1,asa norte,26.666666666666668
1400,Kitnet,27.0,1,sudoeste,51.851851851851855
750,Kitnet,27.0,1,asa norte,27.77777777777778
1100,Kitnet,38.0,1,sudoeste,28.94736842105263
800,Kitnet,25.0,1,asa sul,32.0
850,Kitnet,25.0,1,asa norte,34.0
700,Kitnet,22.0,1,asa norte,31.818181818181817
3000,Apartamento,37.0,1,asa norte,81.08108108108108
800,Apartamento,30.0,1,guara ii,26.666666666666668
1600,Apartamento,41.0,1,asa norte,39.02439024390244
1300,Sala,32.0,1,asa sul,40.625
750,Apartamento,45.0,1,taguatinga,16.666666666666668
1100,Kitnet,26.0,1,cruzeiro,42.30769230769231
500,Apartamento,40.0,1,areal,12.5
980,Apartamento,49.0,1,asa norte,20.0
650,Kitnet,30.0,1,asa norte,21.666666666666668
1300,Apartamento,24.0,1,asa sul,54.166666666666664
950,Kitnet,39.0,1,asa norte,24.358974358974358
900,Kitnet,33.0,1,aguas claras,27.272727272727273
850,Kitnet,32.0,1,asa norte,26.5625
600,Apartamento,30.0,1,taguatinga,20.0
2000,Apartamento,45.0,1,noroeste,44.44444444444444
1220,Kitnet,25.0,1,asa sul,48.8
750,Apartamento,24.0,1,riacho fundo,31.25
750,Kitnet,28.0,1,asa norte,26.785714285714285
850,Apartamento,30.0,1,asa norte,28.333333333333332
2700,Apartamento,40.0,1,asa norte,67.5
1050,Apartamento,33.0,1,lago norte,31.818181818181817
850,Kitnet,27.0,1,asa norte,31.48148148148148
4000,Hotel-Flat,44.0,1,asa norte,90.9090909090909
900,Kitnet,20.0,1,asa norte,45.0
900,Kitnet,25.0,1,asa norte,36.0
1300,Kitnet,25.0,1,sudoeste,52.0
1150,Kitnet,30.0,1,sudoeste,38.333333333333336
800,Kitnet,25.0,1,asa norte,32.0
1300,Apartamento,26.0,1,asa norte,50.0
750,Kitnet,30.0,1,sobradinho,25.0
900,Apartamento,29.0,1,sudoeste,31.03448275862069
1050,Apartamento,32.0,1,aguas claras,32.8125
720,Kitnet,26.0,1,asa norte,27.692307692307693
1400,Kitnet,24.0,1,park sul,58.333333333333336
790,Kitnet,27.0,1,asa norte,29.25925925925926
1100,Apartamento,40.0,1,aguas claras,27.5
1800,Kitnet,34.0,1,noroeste,52.94117647058823
650,Apartamento,45.0,1,nucleo bandeirante,14.444444444444445
1400,Kitnet,42.0,1,asa norte,33.333333333333336
2800,Apartamento,120.0,1,jardim botanico,23.333333333333332
650,Kitnet,23.0,1,asa norte,28.26086956521739
500,Kitnet,30.0,1,nucleo bandeirante,16.666666666666668
2500,Apartamento,48.0,1,asa sul,52.083333333333336
850,Kitnet,27.0,1,sudoeste,31.48148148148148
1290,Kitnet,26.0,1,asa norte,49.61538461538461
850,Kitnet,27.0,1,sudoeste,31.48148148148148
1500,Hotel-Flat,29.0,1,asa norte,51.724137931034484
700,Kitnet,22.0,1,asa norte,31.818181818181817
1200,Apartamento,30.0,1,lago norte,40.0
650,Apartamento,40.0,1,ceilandia,16.25
890,Kitnet,30.0,1,sudoeste,29.666666666666668
750,Apartamento,32.0,1,asa norte,23.4375
1450,Kitnet,30.0,1,lago sul,48.333333333333336
750,Kitnet,22.0,1,asa norte,34.09090909090909
3000,Hotel-Flat,30.0,1,asa sul,100.0
1000,Kitnet,30.0,1,asa sul,33.333333333333336
900,Kitnet,29.0,1,sudoeste,31.03448275862069
2200,Hotel-Flat,37.0,1,asa norte,59.45945945945946
1200,Apartamento,30.0,1,lago norte,40.0
800,Kitnet,30.0,1,asa norte,26.666666666666668
800,Kitnet,25.0,1,sudoeste,32.0
901,Kitnet,31.0,1,asa norte,29.06451612903226
800,Kitnet,30.0,1,sudoeste,26.666666666666668
600,Kitnet,30.0,1,asa norte,20.0
750,Apartamento,25.0,1,guara ii,30.0
590,Kitnet,19.0,1,asa norte,31.05263157894737
900,Kitnet,30.0,1,lago norte,30.0
800,Apartamento,30.0,1,guara ii,26.666666666666668
850,Apartamento,50.0,1,sobradinho,17.0
3500,Apartamento,79.0,1,sudoeste,44.30379746835443
1800,Hotel-Flat,28.0,1,park sul,64.28571428571429
2300,Sala,37.0,1,asa sul,62.16216216216216
1590,Apartamento,33.0,1,noroeste,48.18181818181818
400,Casa,50.0,1,ceilandia,8.0
1450,Kitnet,35.0,1,sudoeste,41.42857142857143
1400,Apartamento,33.0,1,asa sul,42.42424242424242
1100,Apartamento,32.0,1,aguas claras,34.375
600,Kitnet,32.0,1,taguatinga,18.75
450,Kitnet,35.0,1,ceilandia,12.857142857142858
800,Apartamento,46.0,1,vicente pires,17.391304347826086
1300,Kitnet,25.0,1,asa sul,52.0
1300,Kitnet,25.0,1,asa sul,52.0
600,Kitnet,30.0,1,guara ii,20.0
1900,Apartamento,45.0,1,lago norte,42.22222222222222
1050,Kitnet,27.0,1,asa norte,38.888888888888886
2100,Casa,58.0,1,lago norte,36.206896551724135
1200,Kitnet,40.0,1,jardim botanico,30.0
1600,Apartamento,56.0,1,lago norte,28.571428571428573
1100,Apartamento,40.0,1,aguas claras,27.5
1100,Kitnet,34.0,1,lago norte,32.35294117647059
700,Kitnet,28.0,1,asa norte,25.0
1300,Apartamento,35.0,1,asa norte,37.142857142857146
600,Kitnet,58.0,1,nucleo bandeirante,10.344827586206897
850,Apartamento,30.0,1,asa norte,28.333333333333332
1150,Kitnet,27.0,1,sudoeste,42.592592592592595
1500,Hotel-Flat,33.0,1,aguas claras,45.45454545454545
1800,Hotel-Flat,30.0,1,asa norte,60.0
1500,Apartamento,33.0,1,aguas claras,45.45454545454545
370,Kitnet,26.0,1,ceilandia,14.23076923076923
1100,Kitnet,24.0,1,sudoeste,45.833333333333336
1300,Kitnet,30.0,1,asa norte,43.333333333333336
650,Casa,35.0,1,taguatinga,18.571428571428573
2300,Hotel-Flat,30.0,1,asa norte,76.66666666666667
700,Apartamento,37.0,1,ceilandia,18.91891891891892
2100,Kitnet,42.0,1,guara ii,50.0
1300,Kitnet,25.0,1,asa sul,52.0
600,Apartamento,35.0,1,riacho fundo,17.142857142857142
1000,Kitnet,28.0,1,asa norte,35.714285714285715
600,Casa,40.0,1,guara i,15.0
950,Kitnet,60.0,1,taguatinga,15.833333333333334
5200,Apartamento,45.0,1,asa sul,115.55555555555556
1300,Apartamento,35.0,1,asa sul,37.142857142857146
1100,Kitnet,35.0,1,asa norte,31.428571428571427
1300,Apartamento,36.0,1,asa norte,36.111111111111114
1600,Hotel-Flat,26.0,1,park sul,61.53846153846154
1600,Apartamento,30.0,1,aguas claras,53.333333333333336
1100,Kitnet,30.0,1,asa sul,36.666666666666664
1300,Apartamento,33.0,1,noroeste,39.39393939393939
900,Apartamento,29.0,1,asa norte,31.03448275862069
1500,Loja,65.0,1,taguatinga,23.076923076923077
800,Kitnet,30.0,1,sudoeste,26.666666666666668
4500,Hotel-Flat,33.0,1,asa sul,136.36363636363637
800,Apartamento,30.0,1,guara ii,26.666666666666668
2000,Apartamento,83.0,1,lago norte,24.096385542168676
950,Kitnet,30.0,1,cruzeiro,31.666666666666668
850,Apartamento,60.0,1,guara ii,14.166666666666666
950,Apartamento,28.0,1,sudoeste,33.92857142857143
2200,Apartamento,56.0,1,asa sul,39.285714285714285
2500,Hotel-Flat,40.0,1,asa norte,62.5
800,Apartamento,36.0,1,guara i,22.22222222222222
1100,Apartamento,35.0,1,aguas claras,31.428571428571427
1400,Apartamento,33.0,1,aguas claras,42.42424242424242
750,Apartamento,33.0,1,asa norte,22.727272727272727
1750,Apartamento,63.0,1,lago norte,27.77777777777778
900,Kitnet,25.0,1,asa norte,36.0
650,Apartamento,45.0,1,ceilandia,14.444444444444445
1100,Kitnet,36.0,1,asa norte,30.555555555555557
850,Kitnet,28.0,1,asa norte,30.357142857142858
800,Kitnet,30.0,1,lago norte,26.666666666666668
1200,Apartamento,35.0,1,asa norte,34.285714285714285
2350,Hotel-Flat,28.0,1,asa norte,83.92857142857143
800,Kitnet,30.0,1,lago norte,26.666666666666668
800,Kitnet,25.0,1,asa norte,32.0
2000,Apartamento,44.0,1,asa sul,45.45454545454545
2200,Hotel-Flat,48.0,1,asa sul,45.833333333333336
800,Apartamento,38.0,1,samambaia,21.05263157894737
1000,Kitnet,25.0,1,sudoeste,40.0
1490,Apartamento,33.0,1,aguas claras,45.15151515151515
4000,Apartamento,160.0,1,asa norte,25.0
1190,Apartamento,45.0,1,asa sul,26.444444444444443
2500,Hotel-Flat,35.0,1,asa norte,71.42857142857143
1600,Kitnet,27.0,1,asa sul,59.25925925925926
500,Kitnet,20.0,1,asa norte,25.0
1250,Apartamento,40.0,1,aguas claras,31.25
500,Kitnet,33.0,1,santa maria,15.151515151515152
700,Apartamento,30.0,1,taguatinga,23.333333333333332
1100,Kitnet,30.0,1,asa norte,36.666666666666664
1400,Kitnet,28.0,1,lago norte,50.0
1900,Hotel-Flat,29.0,1,asa norte,65.51724137931035
1500,Apartamento,50.0,1,aguas claras,30.0
3300,Apartamento,53.0,1,asa norte,62.264150943396224
3000,Hotel-Flat,38.0,1,asa norte,78.94736842105263
950,Kitnet,27.0,1,cruzeiro,35.18518518518518
1100,Apartamento,32.0,1,aguas claras,34.375
700,Casa,10.0,1,taguatinga,70.0
850,Kitnet,36.0,1,asa norte,23.61111111111111
2600,Apartamento,48.0,1,asa sul,54.166666666666664
550,Apartamento,40.0,1,taguatinga,13.75
1500,Apartamento,42.0,1,lago norte,35.714285714285715
1250,Apartamento,27.0,1,lago norte,46.2962962962963
850,Kitnet,40.0,1,sudoeste,21.25
850,Kitnet,30.0,1,sudoeste,28.333333333333332
2500,Hotel-Flat,38.0,1,asa norte,65.78947368421052
1200,Kitnet,32.0,1,asa norte,37.5
788,Kitnet,26.0,1,asa sul,30.307692307692307
1500,Apartamento,40.0,1,sudoeste,37.5
1650,Kitnet,38.0,1,lucio costa,43.421052631578945
650,Kitnet,29.0,1,asa norte,22.413793103448278
450,Casa,30.0,1,ceilandia,15.0
1200,Kitnet,25.0,1,asa sul,48.0
1450,Kitnet,29.0,1,asa norte,50.0
750,Apartamento,40.0,1,asa norte,18.75
1300,Apartamento,48.0,1,taguatinga,27.083333333333332
600,Apartamento,40.0,1,riacho fundo,15.0
980,Apartamento,32.0,1,aguas claras,30.625
900,Apartamento,37.0,1,asa norte,24.324324324324323
2200,Apartamento,48.0,1,asa norte,45.833333333333336
400,Sala,30.0,1,nucleo bandeirante,13.333333333333334
1689,Kitnet,26.0,1,asa sul,64.96153846153847
2500,Hotel-Flat,28.0,1,asa norte,89.28571428571429
1100,Kitnet,30.0,1,asa norte,36.666666666666664
990,Apartamento,41.0,1,asa norte,24.146341463414632
1800,Kitnet,30.0,1,noroeste,60.0
2500,Hotel-Flat,37.0,1,asa norte,67.56756756756756
1350,Apartamento,30.0,1,sudoeste,45.0
850,Apartamento,30.0,1,asa norte,28.333333333333332
900,Kitnet,30.0,1,asa norte,30.0
1300,Kitnet,27.0,1,park sul,48.148148148148145
1300,Apartamento,30.0,1,asa sul,43.333333333333336
1150,Apartamento,26.0,1,asa norte,44.23076923076923
950,Kitnet,25.0,1,sudoeste,38.0
900,Kitnet,30.0,1,sudoeste,30.0
1200,Kitnet,38.0,1,cruzeiro,31.57894736842105
1500,Apartamento,42.0,1,lago norte,35.714285714285715
500,Kitnet,35.0,1,paranoa,14.285714285714286
2600,Hotel-Flat,53.0,1,asa sul,49.056603773584904
1350,Kitnet,28.0,1,sudoeste,48.214285714285715
1400,Apartamento,34.0,1,aguas claras,41.1764705882353
1000,Kitnet,30.0,1,asa norte,33.333333333333336
1000,Apartamento,45.0,1,asa norte,22.22222222222222
1200,Kitnet,30.0,1,sudoeste,40.0
1449,Hotel-Flat,35.0,1,asa norte,41.4
1100,Kitnet,24.0,1,asa norte,45.833333333333336
700,Kitnet,31.0,1,samambaia,22.580645161290324
1600,Apartamento,28.0,1,park sul,57.142857142857146
